genome	source	strains	expand	GTDB_capture	novo	contigs	genome_size	avg_len	N50_len	N90_len	GC	completeness	contamination	gene	5S	16S	23S	tRNA	quality	domain	phylum	class	order	family	genus	species
PN11RA.bin.131	metagenome-assembly	1	Yes	No	Yes	464	1471679	3171.72	3397	1937	51.71	51.12	0.87	1499	0	0	0	19	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__
PN11RA.bin.14	metagenome-assembly	32	No	Yes	No	225	2333596	10371.54	14246	5167	51.21	99.43	2.09	1117	1	0	0	47	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Butyricicoccaceae	g__Butyricicoccus_A	s__Butyricicoccus_A sp004555915
PN11RA.bin.146	metagenome-assembly	1	Yes	Yes	No	413	1373823	3326.45	3699	2046	50.02	57.31	1.96	1419	1	0	0	12	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__W0P31-042	s__W0P31-042 sp004557195
PN11RA.bin.182	metagenome-assembly	45	No	Yes	No	33	778633	23594.94	36928	13552	44.8	98.61	0.02	789	0	2	2	43	medium-quality	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__Nanosyncoccaceae	g__UBA2834	s__UBA2834 sp004561445
PN11RA.bin.188	metagenome-assembly	1	Yes	No	Yes	25	1751570	70062.8	117402	43664	63.75	81.41	0.18	1464	0	4	2	39	medium-quality	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Akkermansia	s__
PN11RA.bin.203	metagenome-assembly	2	No	No	No	64	2815365	43990.08	65243	26074	48.46	93.62	0.2	1962	1	0	1	48	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__
PN11RA.bin.214	metagenome-assembly	1	Yes	No	Yes	631	1647349	2610.7	2614	1736	45.75	52.61	1.09	2163	1	0	0	25	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__UMGS1889	s__
PN11RA.bin.228	metagenome-assembly	1	Yes	No	Yes	43	2606422	60614.46	120503	42814	43.56	95.49	1.01	1219	3	0	0	61	medium-quality	d__Bacteria	p__Eremiobacterota	c__Xenobia	o__Xenobiales	f__Xenobiaceae	g__JAFSXO01	s__
PN11RA.bin.82	metagenome-assembly	2	No	No	No	99	1666553	16833.87	31543	7623	36.68	100	0.36	1342	1	0	0	29	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Fimenecus	s__
PN11RA.bin.84	metagenome-assembly	1	Yes	Yes	No	627	1546526	2466.55	2426	1639	68.02	55.94	0.99	1650	0	0	0	18	medium-quality	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium variabile
PN11RA.vae.1033	metagenome-assembly	3	Yes	Yes	No	739	1987049	2688.83	2832	1705	70.59	56.29	0.05	2490	1	0	2	28	medium-quality	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp001619615
PN11RA.vae.10405	metagenome-assembly	2	No	No	No	190	2097775	11040.92	16037	5397	49.78	81.39	0.08	1839	1	0	0	42	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__
PN11RA.vae.11578	metagenome-assembly	1	No	No	No	145	2322172	16014.98	24451	7363	47.2	89.21	0.63	1784	0	0	0	34	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__CAG-353	s__
PN11RA.vae.12817	metagenome-assembly	1	Yes	No	Yes	462	1645424	3561.52	4016	1980	49.57	56.57	0.16	1990	0	0	0	24	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Acetatifactor	s__
PN11RA.vae.13774	metagenome-assembly	1	Yes	No	Yes	147	3274164	22273.22	43843	9687	60.83	78.84	7.38	1360	2	2	0	36	medium-quality	d__Bacteria	p__Verrucomicrobiota	c__Kiritimatiellia	o__RFP12	f__UBA1067	g__UBA1067	s__
PN11RA.vae.18046	metagenome-assembly	2	No	No	No	183	2381228	13012.17	19436	6405	43.14	92.34	0.36	2227	1	0	2	43	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminiclostridium_E	s__
PN11RA.vae.19652	metagenome-assembly	13	No	Yes	No	145	2287197	15773.77	20724	8217	51.28	90.79	0.11	1467	0	1	0	40	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella sp900770025
PN11RA.vae.22660	metagenome-assembly	1	Yes	No	Yes	170	1498827	8816.63	12663	3796	48.54	55.2	1.01	1716	1	0	0	31	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__
PN11RA.vae.3778	metagenome-assembly	2	Yes	No	Yes	145	1589591	10962.7	16720	5328	26.8	91.31	1.55	2833	0	0	0	29	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__Scatovivens	s__
PN11RA.vae.4471	metagenome-assembly	1	Yes	No	Yes	275	1024579	3725.74	4243	2075	59.63	66.39	1.74	1345	0	0	0	23	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__RGIG3566	s__
PN11RA.vae.49668	metagenome-assembly	3	Yes	Yes	No	42	1466288	34911.62	166346	49746	44.74	61.86	2.46	1206	0	0	0	26	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus	s__Ruminococcus sp015066935
PN11RA.vae.8181	metagenome-assembly	1	Yes	No	Yes	177	1921967	10858.57	15195	5371	48.71	94.5	0.59	1124	0	2	0	32	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__CAG-115	s__
PN11RB.bin.172	metagenome-assembly	3	No	Yes	No	53	1469174	27720.26	45624	18611	38.35	81.69	0.02	2277	2	0	0	32	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Paludibacteraceae	g__Aphodosoma	s__Aphodosoma sp016292775
PN11RB.bin.71	metagenome-assembly	1	Yes	No	Yes	328	1628065	4963.61	6182	2333	57.17	52	5.93	1370	0	0	0	9	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__
PN11RB.bin.80	metagenome-assembly	9	Yes	Yes	No	336	1146572	3412.42	3683	1987	45.82	68.38	2.73	1968	0	0	0	23	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__Lentihominibacter	s__Lentihominibacter sp022780965
PN11RB.vae.1260	metagenome-assembly	2	Yes	No	Yes	956	2528460	2644.83	2739	1697	67.2	59.45	2.06	1735	0	2	0	20	medium-quality	d__Bacteria	p__Chloroflexota	c__Chloroflexia	o__Thermomicrobiales	f__UBA6265	g__JACCVC01	s__
PN11RB.vae.23289	metagenome-assembly	5	Yes	No	Yes	344	1540964	4479.55	5483	2209	43.14	59.34	1.08	1201	0	0	2	21	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CALZKI01	s__
PN11RB.vae.3775	metagenome-assembly	1	Yes	No	Yes	246	1287410	5233.37	6240	2771	57.49	61.91	7.26	1980	0	0	0	13	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Limivicinus	s__
PN11RC.bin.104	metagenome-assembly	1	No	Yes	No	512	1523079	2974.76	3246	1786	50.83	52.96	2.63	1626	0	0	0	16	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__SFTJ01	s__SFTJ01 sp004557385
PN11RC.bin.20	metagenome-assembly	1	Yes	Yes	No	24	1666414	69433.91	163608	41329	37.93	98.67	0.25	1636	1	0	0	40	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UBA737	s__UBA737 sp002371985
PN11RC.bin.66	metagenome-assembly	1	Yes	No	Yes	346	1007556	2912.01	3112	1840	39.31	58.77	4.59	1479	1	0	0	12	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Ruminococcus_E	s__
PN11RC.bin.79	metagenome-assembly	2	Yes	No	Yes	518	4801969	9270.21	15994	4051	71.07	97.32	2.63	963	1	2	2	52	high-quality	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Dermatophilaceae	g__Segeticoccus	s__
PN11RC.vae.11465	metagenome-assembly	1	No	Yes	No	337	2101372	6235.53	8435	3105	54.22	83.81	0.88	1808	0	2	0	54	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola plebeius_B
PN11RC.vae.15398	metagenome-assembly	2	No	No	No	196	3118218	15909.28	31474	7028	37.75	99.85	2.31	2078	4	3	1	50	high-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__HUN007	s__
PN11RC.vae.26380	metagenome-assembly	1	Yes	Yes	No	363	951516	2621.26	2744	1722	38.03	55.89	1.04	1652	0	0	0	17	medium-quality	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Helicobacteraceae	g__Helicobacter_D	s__Helicobacter_D sp022766795
PN11RC.vae.35492	metagenome-assembly	3	No	No	No	221	2231840	10098.82	16178	4381	55.98	84.43	0.1	1740	0	0	0	65	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__
PN11RC.vae.53609	metagenome-assembly	1	Yes	No	Yes	236	1225532	5192.93	5764	2947	57.07	54.2	0.93	1750	0	0	0	25	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__
PN11RD.bin.119	metagenome-assembly	1	No	Yes	No	473	1351013	2856.26	2873	1779	61.91	53.1	2.53	1577	0	0	0	18	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Alloprevotella	s__Alloprevotella sp022772475
PN11RD.bin.129	metagenome-assembly	1	Yes	No	Yes	49	2123262	43331.88	68886	24935	50.58	83.64	1.43	2195	2	1	6	37	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__
PN11RD.bin.137	metagenome-assembly	4	No	Yes	No	383	1488273	3885.83	4315	2146	48.42	61.17	0.41	1799	0	0	0	32	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Paludibacteraceae	g__RF16	s__RF16 sp022784645
PN11RD.bin.142	metagenome-assembly	1	No	Yes	No	99	1902726	19219.46	34825	8068	54.49	87.31	1.05	2175	0	2	0	41	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes sp017937125
PN11RD.bin.63	metagenome-assembly	3	Yes	No	Yes	370	1130000	3054.05	3156	1977	53.45	56.12	1.08	1054	0	1	0	20	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__
PN11RD.vae.10428	metagenome-assembly	15	Yes	Yes	No	263	2583146	9821.85	16072	4155	64.07	99.99	0.28	1318	1	2	2	48	high-quality	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium phoceense
PN11RD.vae.10849	metagenome-assembly	1	Yes	No	Yes	430	1256990	2923.23	3171	1751	53.4	51.48	0.9	1768	0	0	0	24	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Mediterranea	s__
PN11RD.vae.13902	metagenome-assembly	1	No	No	No	386	2122023	5497.47	6686	2822	43.99	82.84	0.79	2236	0	4	0	20	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__SFDP01	s__
PN11RD.vae.20348	metagenome-assembly	3	No	No	No	444	1462405	3293.7	3504	1921	61.27	72.85	1.6	1713	0	0	0	14	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__SFIE01	s__
PN11RD.vae.20653	metagenome-assembly	1	Yes	No	Yes	212	1570835	7409.6	10458	3378	58.73	66.18	9.81	1456	0	0	0	28	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__
PN11RD.vae.35449	metagenome-assembly	1	Yes	No	Yes	324	1326267	4093.42	4740	2130	44.15	87.88	1.58	1502	0	0	0	15	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__UBA1381	f__UMGS1253	g__RGIG2041	s__
PN11RD.vae.6557	metagenome-assembly	1	Yes	Yes	No	555	1574841	2837.55	2983	1742	63.62	60.41	0	1992	0	0	0	17	medium-quality	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio	s__Desulfovibrio sp905215675
PN11RE.bin.108	metagenome-assembly	1	Yes	No	Yes	504	3522114	6988.32	8828	3575	71.04	94.81	3.33	1651	1	0	0	36	medium-quality	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Propionibacteriales	f__Nocardioidaceae	g__Nocardioides	s__
PN11RE.bin.119	metagenome-assembly	1	Yes	No	Yes	191	2735464	14321.8	28328	5938	70.11	98.35	0.87	2669	0	0	0	47	medium-quality	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Propionibacteriales	f__Propionibacteriaceae	g__Raineyella	s__
PN11RE.bin.157	metagenome-assembly	1	Yes	Yes	No	236	851870	3609.62	3935	1983	38.12	61.09	0.91	1821	0	0	0	16	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UBA737	s__UBA737 sp002371985
PN11RE.bin.164	metagenome-assembly	1	Yes	Yes	No	292	4278603	14652.75	26416	6947	69.47	94.7	2.49	2661	2	1	2	49	high-quality	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__Mycobacterium thermoresistibile
PN11RE.bin.178	metagenome-assembly	3	Yes	Yes	No	549	2404866	4380.45	5136	2310	56.51	74.01	0.06	1150	0	0	0	31	medium-quality	d__Bacteria	p__Chloroflexota	c__Chloroflexia	o__Thermomicrobiales	f__UBA6265	g__UBA6265	s__UBA6265 sp023424355
PN11RE.bin.179	metagenome-assembly	1	Yes	No	Yes	292	819681	2807.13	2863	1770	37.32	55.55	0.39	1564	0	0	0	9	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Fimenecus	s__
PN11RE.bin.206	metagenome-assembly	2	No	No	No	367	1172508	3194.84	3381	1969	56.29	53.3	3.46	1149	0	0	0	20	medium-quality	d__Bacteria	p__Actinomycetota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__CAKUOV01	s__
PN11RE.bin.23	metagenome-assembly	1	Yes	No	Yes	268	3091710	11536.23	19533	4972	71.3	99.15	4.9	1099	2	0	0	42	medium-quality	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__
PN11RE.bin.27	metagenome-assembly	1	Yes	No	Yes	58	1902604	32803.52	51829	16430	34.6	86.13	0.27	4200	0	2	2	33	medium-quality	d__Bacteria	p__Cyanobacteriota	c__Vampirovibrionia	o__Gastranaerophilales	f__Gastranaerophilaceae	g__RUG841	s__
PN11RE.bin.38	metagenome-assembly	1	Yes	No	Yes	894	3208727	3589.18	4108	1985	70.01	58.66	0.82	1688	0	0	0	19	medium-quality	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Nakamurellaceae	g__Nakamurella	s__
PN11RE.bin.56	metagenome-assembly	1	Yes	No	Yes	90	2731118	30345.76	63784	15315	71.13	99.97	0.57	1749	2	0	0	44	medium-quality	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__
PN11RE.bin.6	metagenome-assembly	1	Yes	Yes	No	161	4468138	27752.41	65089	13444	69.29	100	2.08	3503	1	1	2	50	high-quality	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Gordonia	s__Gordonia paraffinivorans
PN11RE.bin.77	metagenome-assembly	1	Yes	Yes	No	379	1116695	2946.42	3085	1795	34.82	63.61	0.47	4159	0	2	0	23	medium-quality	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Rhodocyclaceae	g__SFHR01	s__SFHR01 sp004555545
PN11RE.bin.79	metagenome-assembly	1	Yes	Yes	No	401	1194249	2978.18	3074	1813	38.92	67.93	2.46	1182	0	0	0	31	medium-quality	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter	s__Campylobacter sp945873855
PN11RE.bin.91	metagenome-assembly	1	Yes	Yes	No	484	4024750	8315.6	11460	4106	69.03	85.34	5.94	1336	2	0	0	35	medium-quality	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Pseudonocardiaceae	g__Thermocrispum	s__Thermocrispum municipale
PN11RE.vae.12187	metagenome-assembly	13	No	Yes	No	302	2599845	8608.76	11090	4220	48.42	82.68	0.38	1426	2	0	0	37	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__UBA6382	s__UBA6382 sp945827465
PN11RE.vae.12252	metagenome-assembly	1	Yes	Yes	No	570	1577391	2767.35	2928	1746	35.58	52.53	1.86	4116	0	0	1	10	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__COE1	s__COE1 sp017424235
PN11RE.vae.18868	metagenome-assembly	1	Yes	No	Yes	216	2957762	13693.34	21394	7013	58.07	97.1	0.7	1186	0	0	0	43	medium-quality	d__Bacteria	p__Chloroflexota	c__Chloroflexia	o__Thermomicrobiales	f__UBA6265	g__UBA6265	s__
PN11RE.vae.18999	metagenome-assembly	6	Yes	No	Yes	357	1421907	3982.93	4782	2008	48.39	61.52	2.29	1545	1	2	0	27	medium-quality	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Phascolarctobacterium_A	s__
PN11RE.vae.24347	metagenome-assembly	2	Yes	No	Yes	176	1026952	5834.95	7093	3183	53.33	55.61	1.91	1883	0	2	0	19	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Paludibacteraceae	g__RF16	s__
PN11RE.vae.35415	metagenome-assembly	3	No	No	No	446	1786120	4004.75	4425	2259	49.51	67.79	0.21	1578	0	0	0	19	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__
PN11RE.vae.36472	metagenome-assembly	1	Yes	Yes	No	334	1362882	4080.49	4847	2216	30.66	74.33	0	2913	0	2	0	19	medium-quality	d__Bacteria	p__Cyanobacteriota	c__Vampirovibrionia	o__Gastranaerophilales	f__Gastranaerophilaceae	g__UBA6984	s__UBA6984 sp934726055
PN11RE.vae.39460	metagenome-assembly	1	Yes	No	Yes	293	1090864	3723.09	4252	2080	57.45	54.11	1.66	1302	0	0	0	22	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Dysosmobacter	s__
PN11RE.vae.3978	metagenome-assembly	1	Yes	Yes	No	589	1561023	2650.29	2661	1718	70.2	50.94	1.72	1594	0	0	0	19	medium-quality	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium xerosis
PN11RE.vae.50946	metagenome-assembly	2	Yes	No	Yes	174	1680684	9659.1	13843	4770	54.68	75.42	2.3	1243	0	0	0	33	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__
PN11RE.vae.938	metagenome-assembly	1	Yes	Yes	No	429	1000106	2331.25	2308	1635	60.51	62.24	1.78	1185	0	1	0	11	medium-quality	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_A	g__Sutterella	s__Sutterella sp017936545
PN11RF.bin.105	metagenome-assembly	1	Yes	Yes	No	491	1549159	3155.11	3311	1934	48.68	53.71	10	1785	0	0	0	15	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__Cryptobacteroides sp945827785
PN11RF.bin.127	metagenome-assembly	1	Yes	No	Yes	823	2368069	2877.36	3000	1715	70.05	57.32	5.98	2882	0	0	0	19	medium-quality	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Gordonia	s__
PN11RF.bin.189	metagenome-assembly	2	Yes	No	Yes	594	1787527	3009.3	3172	1832	40.38	61.51	2.95	1159	1	0	0	25	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__HUN007	s__
PN11RF.bin.34	metagenome-assembly	1	Yes	No	Yes	231	1602591	6937.62	10918	2552	55.95	57.61	8.99	1680	1	0	0	17	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__
PN11RF.bin.47	metagenome-assembly	1	Yes	No	Yes	90	3488545	38761.61	86231	21125	70.22	99.97	0.74	1380	1	2	2	44	high-quality	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Gordonia	s__
PN11RF.bin.92	metagenome-assembly	1	No	No	No	405	2074462	5122.13	6560	2720	57.81	78.66	1.21	3598	0	0	0	37	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Paraprevotella	s__
PN11RF.vae.10757	metagenome-assembly	6	Yes	No	Yes	37	1844758	49858.32	107117	20406	58.07	88.82	0.33	1486	0	2	0	47	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Butyricicoccaceae	g__UBA4644	s__
PN11RF.vae.11531	metagenome-assembly	1	Yes	No	Yes	381	1291709	3390.31	3559	1882	47.96	58.15	1.8	1876	1	2	0	17	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faeciplasma	s__
PN11RF.vae.12622	metagenome-assembly	1	Yes	No	Yes	271	1086683	4009.9	4510	2215	57.92	50.91	0.3	1246	0	0	0	20	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Limivicinus	s__
PN11RF.vae.14504	metagenome-assembly	1	Yes	No	Yes	431	1658491	3848.01	4366	1829	50.57	53.82	5.37	2518	1	0	0	24	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Choladousia	s__
PN11RF.vae.18451	metagenome-assembly	4	Yes	No	Yes	216	1163243	5385.38	6908	2656	24.71	69.54	2.91	1681	0	0	0	28	medium-quality	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__CAJGDV01	s__
PN11RF.vae.22053	metagenome-assembly	2	No	No	No	216	1418256	6566	8610	3311	55.21	75.53	2.52	1263	0	0	0	33	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__F23-B02	s__
PN11RF.vae.26781	metagenome-assembly	2	Yes	No	Yes	624	2207439	3537.56	4075	1898	70.93	65.28	2.56	2447	0	0	0	35	medium-quality	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__
PN11RF.vae.27363	metagenome-assembly	1	Yes	No	Yes	377	1225869	3251.64	3492	1873	34.44	66.94	1.47	1469	0	0	0	29	medium-quality	d__Bacteria	p__Cyanobacteriota	c__Vampirovibrionia	o__Gastranaerophilales	f__Gastranaerophilaceae	g__CAG-196	s__
PN11RF.vae.28473	metagenome-assembly	62	No	Yes	No	138	2711921	19651.6	33558	8990	49.56	99.09	0.04	1654	1	2	2	46	high-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella sp002251365
PN11RF.vae.42744	metagenome-assembly	1	No	No	No	339	1517093	4475.2	5360	2417	53.03	71.35	0.67	2147	0	0	0	23	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__
PN11RF.vae.43843	metagenome-assembly	16	No	Yes	No	74	2175088	29393.08	52213	14672	47.35	90.28	0.15	1823	3	2	2	34	high-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__Cryptobacteroides sp945874815
PN11RF.vae.5164	metagenome-assembly	21	No	Yes	No	102	2906534	28495.43	46350	12253	47.03	94.1	0.02	1996	1	0	0	43	medium-quality	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella sp945787895
PN11RF.vae.61502	metagenome-assembly	2	No	No	No	93	2701621	29049.69	40427	14186	46.05	89.11	0.1	1253	0	2	1	39	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__RGIG4057	s__
PN11RF.vae.6661	metagenome-assembly	1	Yes	No	Yes	241	1097559	4554.19	5687	2230	49.47	66.72	1.92	1638	0	2	0	24	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Feifaniaceae	g__RGIG6165	s__
PN11RF.vae.7841	metagenome-assembly	1	Yes	No	Yes	495	1784357	3604.76	4042	1916	36.33	83.06	5.32	1184	0	0	0	37	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__TWA4	s__
PN11RF.vae.8556	metagenome-assembly	1	Yes	No	Yes	257	1456808	5668.51	7070	3035	61.17	65.18	1.98	2024	0	0	0	15	medium-quality	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Dysosmobacter	s__
