genomospecies	GCF	BGC	GCC	Accession_ID	Description	Product_Prediction	BiGSCAPE_class	Organism	Taxonomy	length	genome	source	domain	phylum	class	order	family	genus	species
PN13RR.vae.21849	GCF04314	PN10RO.vae.32969_k141_573245.region001	GCC06620	k141_573245	k141_573245	cyclic-lactone-autoinducer	RiPPs	NA	NA	8486	PN10RO.vae.32969	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__UBA1381	f__UBA1381	g__JALEPO01	s__JALEPO01 sp022768695
PN13RR.vae.21849	GCF06620	PN13RR.vae.21849_k141_331018.region001	GCC06620	k141_331018	k141_331018	cyclic-lactone-autoinducer	RiPPs	NA	NA	13592	PN13RR.vae.21849	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__UBA1381	f__UBA1381	g__JALEPO01	s__JALEPO01 sp022768695
PN13RR.vae.21849	GCF06621	PN1CI.bin.53_k141_1114682.region001	GCC12289	k141_1114682	k141_1114682	ranthipeptide	RiPPs	NA	NA	12346	PN1CI.bin.53	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__UBA1381	f__UBA1381	g__JALEPO01	s__JALEPO01 sp022768695
PN13RR.vae.21849	GCF09566	PN1CI.bin.53_k141_801481.region001	GCC17343	k141_801481	k141_801481	betalactone	Others	NA	NA	24179	PN1CI.bin.53	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__UBA1381	f__UBA1381	g__JALEPO01	s__JALEPO01 sp022768695
PN13RR.vae.21849	GCF09567	PN1CJ.vae.15552_k141_345670.region001	GCC06641	k141_345670	k141_345670	cyclic-lactone-autoinducer	RiPPs	NA	NA	10712	PN1CJ.vae.15552	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__UBA1381	f__UBA1381	g__JALEPO01	s__JALEPO01 sp022768695
PN13RR.vae.34023	GCF04344	PN13RR.vae.34023_k141_1816538.region001	GCC13749	k141_1816538	k141_1816538	ranthipeptide	RiPPs	NA	NA	19773	PN13RR.vae.34023	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__
PN13RR.vae.34023	GCF06624	PN8RM.vae.71250_k141_1186679.region001	GCC05630	k141_1186679	k141_1186679	betalactone	Others	NA	NA	12078	PN8RM.vae.71250	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__
PN13RR.vae.45074	GCF06636	PN13RR.vae.45074_k141_81421.region001	GCC10605	k141_81421	k141_81421	arylpolyene	Others	NA	NA	43272	PN13RR.vae.45074	metagenome-assembly	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__Cryptobacteroides sp022777585
PN13RR.vae.45074	GCF10604	PN7RL.bin.23_k141_1168881.region001	GCC10604	k141_1168881	k141_1168881	RRE-containing	RiPPs	NA	NA	11074	PN7RL.bin.23	metagenome-assembly	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__Cryptobacteroides sp022777585
PN13RR.vae.45074	GCF10605	PN6RQ.vae.3521_k141_1800115.region001	GCC10605	k141_1800115	k141_1800115	arylpolyene	Others	NA	NA	23559	PN6RQ.vae.3521	metagenome-assembly	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__Cryptobacteroides sp022777585
PN13RR.vae.45074	GCF12907	PN12RA.vae.43319_k141_1054190.region001	GCC10604	k141_1054190	k141_1054190	RRE-containing	RiPPs	NA	NA	14079	PN12RA.vae.43319	metagenome-assembly	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__Cryptobacteroides sp022777585
PN13RR.vae.45074	GCF14333	PN5RB.vae.3052_k141_510624.region001	GCC14333	k141_510624	k141_510624	arylpolyene	Others	NA	NA	22100	PN5RB.vae.3052	metagenome-assembly	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__Cryptobacteroides sp022777585
PN13RR.vae.45074	GCF14571	PN5RB.vae.3052_k141_598433.region001	GCC15742	k141_598433	k141_598433	arylpolyene	Others	NA	NA	8995	PN5RB.vae.3052	metagenome-assembly	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__Cryptobacteroides sp022777585
PN13RR.vae.45074	GCF15742	PN13RR.vae.45074_k141_498898.region001	GCC15742	k141_498898	k141_498898	arylpolyene	Others	NA	NA	25404	PN13RR.vae.45074	metagenome-assembly	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__Cryptobacteroides sp022777585
PN13RR.vae.45074	GCF18009	PN7RO.vae.19746_k141_387149.region001	GCC16674	k141_387149	k141_387149	arylpolyene	Others	NA	NA	7703	PN7RO.vae.19746	metagenome-assembly	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__Cryptobacteroides sp022777585
PN13RS.vae.1267	GCF15070	PN13RS.vae.1267_k141_1602096.region001	GCC05049	k141_1602096	k141_1602096	lanthipeptide-class-iv	RiPPs	NA	NA	5519	PN13RS.vae.1267	metagenome-assembly	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__Lactobacillus delbrueckii_B
PN13RS.vae.16054	GCF06612	PN13RS.vae.16054_k141_409782.region001	GCC15123	k141_409782	k141_409782	RRE-containing	RiPPs	NA	NA	11693	PN13RS.vae.16054	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Dysosmobacter	s__
PN13RS.vae.16054	GCF06668	PN13RS.vae.16054_k141_254997.region001	GCC06034	k141_254997	k141_254997	RRE-containing	RiPPs	NA	NA	11548	PN13RS.vae.16054	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Dysosmobacter	s__
PN13RS.vae.16054	GCF14289	PN13RS.vae.16054_k141_81905.region001	GCC17223	k141_81905	k141_81905	ranthipeptide	RiPPs	NA	NA	15549	PN13RS.vae.16054	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Dysosmobacter	s__
PN13RS.vae.29261	GCF06681	PN13RS.vae.29261_k141_434912.region001	GCC03617	k141_434912	k141_434912	RRE-containing	RiPPs	NA	NA	10026	PN13RS.vae.29261	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UBA737	s__UBA737 sp945875045
PN13RS.vae.9334	GCF06474	PN13RS.vae.9334_k141_874508.region001	GCC10232	k141_874508	k141_874508	arylpolyene	Others	NA	NA	5138	PN13RS.vae.9334	metagenome-assembly	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Paludibacteraceae	g__RF16	s__RF16 sp945787425
PN13RT.vae.17061	GCF03578	PN13RT.vae.17061_k141_1006865.region001	GCC03578	k141_1006865	k141_1006865	ranthipeptide	RiPPs	NA	NA	15821	PN13RT.vae.17061	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__
PN13RT.vae.3232	GCF14093	PN13RT.vae.3232_k141_959023.region001	GCC03227	k141_959023	k141_959023	ranthipeptide	RiPPs	NA	NA	8406	PN13RT.vae.3232	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAKRHR01	s__CAKRHR01 sp934339005
PN13RT.vae.412	GCF13463	PN13RT.vae.412_k141_1099998.region001	GCC13463	k141_1099998	k141_1099998	ranthipeptide	RiPPs	NA	NA	12774	PN13RT.vae.412	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Marvinbryantia	s__
PN13RT.vae.934	GCF03563	PN10RL.vae.10243_k141_177835.region001	GCC11156	k141_177835	k141_177835	betalactone	Others	NA	NA	6436	PN10RL.vae.10243	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__Faecousia sp022777455
PN13RT.vae.934	GCF08249	PN16RC.vae.21985_k141_1327081.region001	GCC09452	k141_1327081	k141_1327081	ranthipeptide	RiPPs	NA	NA	21607	PN16RC.vae.21985	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__Faecousia sp022777455
PN13RT.vae.934	GCF09125	PN16RC.vae.21985_k141_1843780.region001	GCC04067	k141_1843780	k141_1843780	betalactone	Others	NA	NA	19793	PN16RC.vae.21985	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__Faecousia sp022777455
PN13RT.vae.934	GCF09452	PN13RT.vae.934_k141_241289.region001	GCC09452	k141_241289	k141_241289	ranthipeptide	RiPPs	NA	NA	18122	PN13RT.vae.934	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__Faecousia sp022777455
PN13RU.bin.189	GCF07198	PN13RU.bin.189_k141_2194070.region001	GCC07198	k141_2194070	k141_2194070	ranthipeptide	RiPPs	NA	NA	7218	PN13RU.bin.189	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__	s__
PN13RU.vae.21611	GCF06745	PN13RU.vae.21611_k141_1961828.region001	GCC08667	k141_1961828	k141_1961828	ranthipeptide	RiPPs	NA	NA	21380	PN13RU.vae.21611	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAKQHB01	s__CAKQHB01 sp934234215
PN13RU.vae.8201	GCF06754	PN13RU.vae.8201_k141_552270.region001	GCC14231	k141_552270	k141_552270	RRE-containing	RiPPs	NA	NA	16761	PN13RU.vae.8201	metagenome-assembly	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Alloprevotella	s__
PN14RA.bin.117	GCF06755	PN14RA.bin.117_k141_1406741.region001	GCC06755	k141_1406741	k141_1406741	NRPS	NRPS	NA	NA	10521	PN14RA.bin.117	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__UMGS1781	s__UMGS1781 sp004554705
PN14RA.bin.117	GCF06756	PN14RA.bin.117_k141_1415652.region001	GCC06756	k141_1415652	k141_1415652	cyclic-lactone-autoinducer	RiPPs	NA	NA	18442	PN14RA.bin.117	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__TANB77	f__CAG-508	g__UMGS1781	s__UMGS1781 sp004554705
PN14RA.bin.96	GCF06764	PN14RA.bin.96_k141_341843.region001	GCC09304	k141_341843	k141_341843	thioamitides	RiPPs	NA	NA	21931	PN14RA.bin.96	metagenome-assembly	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobrevibacter	s__Methanobrevibacter ruminantium_A
PN14RA.vae.10105	GCF04569	PN11RA.bin.130_k141_1555921.region001	GCC09784	k141_1555921	k141_1555921	RRE-containing	RiPPs	NA	NA	5648	PN11RA.bin.130	metagenome-assembly	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__UBA4334	s__UBA4334 sp016302435
PN14RA.vae.10105	GCF05163	PN11RK.vae.5014_k141_1689370.region001	GCC09399	k141_1689370	k141_1689370	NRPS	NRPS	NA	NA	27648	PN11RK.vae.5014	metagenome-assembly	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__UBA4334	s__UBA4334 sp016302435
PN14RA.vae.10105	GCF07088	PN14RI.bin.130_k141_1141343.region001	GCC03514	k141_1141343	k141_1141343	RRE-containing	RiPPs	NA	NA	13175	PN14RI.bin.130	metagenome-assembly	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__UBA4334	s__UBA4334 sp016302435
PN14RA.vae.900	GCF04350	PN1LF.vae.3258_k141_131113.region001	GCC08562	k141_131113	k141_131113	ranthipeptide	RiPPs	NA	NA	7947	PN1LF.vae.3258	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Evtepia	s__Evtepia sp016295225
PN14RB.bin.101	GCF06782	PN14RB.bin.101_k141_755079.region001	GCC00029	k141_755079	k141_755079	terpene	Terpene	NA	NA	11436	PN14RB.bin.101	metagenome-assembly	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Metalysinibacillus	s__
PN14RB.bin.101	GCF06783	PN14RB.bin.101_k141_955670.region001	GCC16275	k141_955670	k141_955670	betalactone	Others	NA	NA	24151	PN14RB.bin.101	metagenome-assembly	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Metalysinibacillus	s__
PN14RB.bin.146	GCF11763	PN1LD.bin.64_k141_885109.region001	GCC11763	k141_885109	k141_885109	NRPS	NRPS	NA	NA	5147	PN1LD.bin.64	metagenome-assembly	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__
PN14RB.bin.146	GCF12477	PN1RD.vae.13851_k141_382613.region001	GCC04057	k141_382613	k141_382613	NRPS	NRPS	NA	NA	7195	PN1RD.vae.13851	metagenome-assembly	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__
PN14RB.bin.146	GCF17595	PN8RO.vae.1742_k141_320908.region001	GCC17595	k141_320908	k141_320908	LAP.proteusin	RiPPs	NA	NA	12819	PN8RO.vae.1742	metagenome-assembly	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__
PN14RB.bin.196	GCF06793	PN14RB.bin.196_k141_993961.region001	GCC02620	k141_993961	k141_993961	ranthipeptide	RiPPs	NA	NA	16924	PN14RB.bin.196	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__RGIG3925	s__
PN14RB.bin.196	GCF08379	PN14RB.bin.196_k141_803210.region001	GCC08379	k141_803210	k141_803210	betalactone	Others	NA	NA	29379	PN14RB.bin.196	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__CAG-272	g__RGIG3925	s__
PN14RB.bin.24	GCF06797	PN14RB.bin.24_k141_703746.region001	GCC12508	k141_703746	k141_703746	terpene	Terpene	NA	NA	16875	PN14RB.bin.24	metagenome-assembly	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__RF32	f__CAG-239	g__RUG410	s__RUG410 sp934271715
PN14RB.bin.24	GCF17655	PN8RP.vae.1141_k141_12298.region001	GCC02950	k141_12298	k141_12298	terpene	Terpene	NA	NA	13836	PN8RP.vae.1141	metagenome-assembly	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__RF32	f__CAG-239	g__RUG410	s__RUG410 sp934271715
PN14RB.bin.6	GCF11406	PN2RA.vae.75386_k141_1936990.region001	GCC11651	k141_1936990	k141_1936990	betalactone	Others	NA	NA	6702	PN2RA.vae.75386	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__JALEJU01	s__JALEJU01 sp022769485
PN14RB.bin.73	GCF13047	PN14RB.bin.73_k141_640314.region001	GCC14186	k141_640314	k141_640314	ranthipeptide	RiPPs	NA	NA	26228	PN14RB.bin.73	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__QAMX01	g__QAMX01	s__QAMX01 sp004555605
PN14RB.vae.21314	GCF12960	PN14RB.vae.21314_k141_1545006.region001	GCC07965	k141_1545006	k141_1545006	ranthipeptide	RiPPs	NA	NA	21805	PN14RB.vae.21314	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Avoscillospira	s__
PN14RB.vae.26740	GCF12409	PN14RB.vae.26740_k141_299367.region001	GCC07537	k141_299367	k141_299367	ranthipeptide	RiPPs	NA	NA	17963	PN14RB.vae.26740	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Sarcina	s__Sarcina ventriculi
PN14RB.vae.5044	GCF06612	PN14RB.vae.5044_k141_1547729.region001	GCC15123	k141_1547729	k141_1547729	RRE-containing	RiPPs	NA	NA	18271	PN14RB.vae.5044	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Dysosmobacter	s__
PN14RB.vae.5044	GCF14289	PN14RB.vae.5044_k141_1401685.region001	GCC17223	k141_1401685	k141_1401685	ranthipeptide	RiPPs	NA	NA	15549	PN14RB.vae.5044	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Dysosmobacter	s__
PN14RC.bin.108	GCF06821	PN14RC.bin.108_k141_34949.region001	GCC16275	k141_34949	k141_34949	betalactone	Others	NA	NA	16567	PN14RC.bin.108	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__UMGS973	s__UMGS973 sp900547295
PN14RC.bin.108	GCF17152	PN14RC.bin.108_k141_192339.region001	GCC17152	k141_192339	k141_192339	ranthipeptide	RiPPs	NA	NA	19157	PN14RC.bin.108	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__UMGS973	s__UMGS973 sp900547295
PN14RC.bin.219	GCF06824	PN14RC.bin.219_k141_942493.region001	GCC16110	k141_942493	k141_942493	betalactone	Others	NA	NA	21292	PN14RC.bin.219	metagenome-assembly	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__Cryptobacteroides sp000432655
PN14RC.bin.219	GCF07213	PN14RC.bin.219_k141_942493.region002	GCC03241	k141_942493	k141_942493	RRE-containing	RiPPs	NA	NA	20270	PN14RC.bin.219	metagenome-assembly	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__Cryptobacteroides sp000432655
PN14RC.bin.219	GCF17259	PN8RI.bin.132_k141_1005075.region001	GCC10398	k141_1005075	k141_1005075	RRE-containing	RiPPs	NA	NA	6255	PN8RI.bin.132	metagenome-assembly	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__Cryptobacteroides sp000432655
PN14RC.vae.13544	GCF06829	PN14RC.vae.13544_k141_247766.region001	GCC08149	k141_247766	k141_247766	RRE-containing	RiPPs	NA	NA	13800	PN14RC.vae.13544	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UBA737	s__UBA737 sp002431945
PN14RC.vae.13544	GCF09012	PN14RC.vae.13544_k141_412214.region001	GCC10027	k141_412214	k141_412214	betalactone	Others	NA	NA	17157	PN14RC.vae.13544	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UBA737	s__UBA737 sp002431945
PN14RC.vae.335	GCF07775	PN14RC.vae.335_k141_1370636.region001	GCC07775	k141_1370636	k141_1370636	thioamitides	RiPPs	NA	NA	21861	PN14RC.vae.335	metagenome-assembly	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobrevibacter_A	s__Methanobrevibacter_A sp900769095
PN14RC.vae.5403	GCF06850	PN14RC.vae.5403_k141_56599.region001	GCC13913	k141_56599	k141_56599	ranthipeptide	RiPPs	NA	NA	8255	PN14RC.vae.5403	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Choladousia	s__Choladousia sp902363135
PN14RC.vae.5517	GCF06851	PN14RC.vae.5517_k141_1299237.region001	GCC06851	k141_1299237	k141_1299237	arylpolyene	Others	NA	NA	5996	PN14RC.vae.5517	metagenome-assembly	d__Bacteria	p__Verrucomicrobiota	c__Kiritimatiellia	o__RFP12	f__UBA1067	g__RUG572	s__RUG572 sp900547945
PN14RC.vae.5517	GCF07032	PN6RC.vae.15045_k141_2183982.region001	GCC07032	k141_2183982	k141_2183982	arylpolyene	Others	NA	NA	14278	PN6RC.vae.15045	metagenome-assembly	d__Bacteria	p__Verrucomicrobiota	c__Kiritimatiellia	o__RFP12	f__UBA1067	g__RUG572	s__RUG572 sp900547945
PN14RC.vae.5517	GCF15854	PN14RJ.bin.210_k141_588905.region001	GCC09132	k141_588905	k141_588905	arylpolyene	Others	NA	NA	8439	PN14RJ.bin.210	metagenome-assembly	d__Bacteria	p__Verrucomicrobiota	c__Kiritimatiellia	o__RFP12	f__UBA1067	g__RUG572	s__RUG572 sp900547945
PN14RC.vae.5517	GCF18058	PN9RJ.vae.12119_k141_283297.region001	GCC03172	k141_283297	k141_283297	arylpolyene	Others	NA	NA	5208	PN9RJ.vae.12119	metagenome-assembly	d__Bacteria	p__Verrucomicrobiota	c__Kiritimatiellia	o__RFP12	f__UBA1067	g__RUG572	s__RUG572 sp900547945
PN14RC.vae.6726	GCF03688	PN14RC.vae.6726_k141_1309910.region001	GCC03688	k141_1309910	k141_1309910	ranthipeptide	RiPPs	NA	NA	16698	PN14RC.vae.6726	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Anaerobutyricum	s__Anaerobutyricum hallii
PN14RD.bin.20	GCF06870	PN14RD.bin.20_k141_29490.region001	GCC11634	k141_29490	k141_29490	cyclic-lactone-autoinducer	RiPPs	NA	NA	14807	PN14RD.bin.20	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus	s__Ruminococcus sp016303195
PN14RD.bin.20	GCF06871	PN14RD.bin.20_k141_806872.region001	GCC06871	k141_806872	k141_806872	RRE-containing	RiPPs	NA	NA	11937	PN14RD.bin.20	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus	s__Ruminococcus sp016303195
PN14RD.bin.20	GCF07039	PN14RD.bin.20_k141_849492.region001	GCC08661	k141_849492	k141_849492	ranthipeptide	RiPPs	NA	NA	11369	PN14RD.bin.20	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus	s__Ruminococcus sp016303195
PN14RD.bin.20	GCF07043	PN14RD.bin.20_k141_1475990.region001	GCC00319	k141_1475990	k141_1475990	NRPS-like	NRPS	NA	NA	5713	PN14RD.bin.20	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus	s__Ruminococcus sp016303195
PN14RD.bin.20	GCF11115	PN14RD.bin.20_k141_877130.region001	GCC11900	k141_877130	k141_877130	RRE-containing	RiPPs	NA	NA	12694	PN14RD.bin.20	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus	s__Ruminococcus sp016303195
PN14RD.bin.20	GCF16870	PN7RV.vae.10069_k141_355001.region001	GCC14488	k141_355001	k141_355001	NRPS	NRPS	NA	NA	7790	PN7RV.vae.10069	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus	s__Ruminococcus sp016303195
PN14RD.bin.20	GCF16871	PN7RV.vae.10069_k141_609201.region001	GCC14751	k141_609201	k141_609201	NRPS.T1PKS.NRPS-like	PKS-NRP_Hybrids	NA	NA	12083	PN7RV.vae.10069	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus	s__Ruminococcus sp016303195
PN14RD.bin.91	GCF06882	PN14RD.bin.91_k141_816174.region001	GCC07612	k141_816174	k141_816174	ranthipeptide	RiPPs	NA	NA	21398	PN14RD.bin.91	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__CAG-115	s__CAG-115 sp004555635
PN14RD.bin.91	GCF10359	PN1RF.bin.180_k141_933268.region001	GCC03280	k141_933268	k141_933268	NRPS-like	NRPS	NA	NA	21924	PN1RF.bin.180	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__CAG-115	s__CAG-115 sp004555635
PN14RD.vae.1920	GCF17783	PN14RD.vae.1920_k141_1765086.region001	GCC08822	k141_1765086	k141_1765086	T1PKS	PKSI	NA	NA	9856	PN14RD.vae.1920	metagenome-assembly	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Corynebacterium	s__Corynebacterium frankenforstense
PN14RD.vae.79669	GCF08125	PN14RD.vae.79669_k141_167165.region001	GCC12080	k141_167165	k141_167165	betalactone.NRPS-like	Others	NA	NA	21016	PN14RD.vae.79669	metagenome-assembly	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__UBA6382	s__UBA6382 sp022763905
PN14RE.bin.77	GCF05852	PN14RE.bin.77_k141_499576.region001	GCC14482	k141_499576	k141_499576	ranthipeptide	RiPPs	NA	NA	20942	PN14RE.bin.77	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Acetatifactor	s__
PN14RE.bin.96	GCF06921	PN14RE.bin.96_k141_1111289.region001	GCC03519	k141_1111289	k141_1111289	NRPS-like	NRPS	NA	NA	38860	PN14RE.bin.96	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__UBA3766	s__UBA3766 sp900769175
PN14RE.bin.96	GCF06922	PN14RE.bin.96_k141_1111893.region001	GCC14374	k141_1111893	k141_1111893	ranthipeptide	RiPPs	NA	NA	14862	PN14RE.bin.96	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__UBA3766	s__UBA3766 sp900769175
PN14RE.bin.96	GCF06923	PN14RE.bin.96_k141_1128765.region001	GCC14905	k141_1128765	k141_1128765	betalactone	Others	NA	NA	24092	PN14RE.bin.96	metagenome-assembly	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__UBA3766	s__UBA3766 sp900769175
